Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Разбор инцидента · Альфа,06/30/2026,11:00 AM,06/30/2026,12:00 PM,False,Разбор инцидента 30.06: деградация ППРБ-адаптера 14:00–15:30.,,True
Postmortem-митинг · Альфа,07/01/2026,11:00 AM,07/01/2026,12:00 PM,False,Postmortem-митинг по инциденту 30.06.,,True
Code freeze · Альфа,07/02/2026,12:00 PM,07/02/2026,6:00 PM,False,Code freeze перед релизом ALPHA-2026.07.,,True
Релиз-синк · Альфа,07/03/2026,2:00 PM,07/03/2026,3:00 PM,False,"Релиз-синк проекта Альфа (ALPHA-2026.07). 5 участников: Тимлид, SRE, Владелец продукта, Разработчик backend, Разработчик frontend.",,True
Ретроспектива · Альфа,07/06/2026,11:00 AM,07/06/2026,12:00 PM,False,"Ретроспектива спринта 12 по проекту Альфа. (Перенесена с 05.07 — воскресенье, выходной.)",,True
Daily стендап · Альфа,07/06/2026,4:00 PM,07/06/2026,4:15 PM,False,"Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.",,True
Планирование спринта · Альфа,07/07/2026,12:00 PM,07/07/2026,1:00 PM,False,Планирование спринта 13 по проекту Альфа.,,True
Синхронизация с SRE · Альфа,07/07/2026,4:00 PM,07/07/2026,4:30 PM,False,Синхронизация с SRE по деплою ППРБ-адаптера в production.,,True
Разбор блокеров · Альфа,07/08/2026,11:00 AM,07/08/2026,11:30 AM,False,"Разбор блокеров релиза ALPHA-2026.07: ППРБ-адаптер, partner-api.",,True
Демо для заказчика · Альфа,07/08/2026,3:00 PM,07/08/2026,4:00 PM,False,"Демо релиза ALPHA-2026.07 (Миграция на ППРБ) для заказчика. (Перенесено с 12.07 — воскресенье, выходной.)",,True
Код-ревью синк · Альфа,07/09/2026,10:00 AM,07/09/2026,10:30 AM,False,"Синк по код-ревью PR: Миграция на ППРБ, Репликация ППРБ, Вебхуки ППРБ.",,True
Релиз-синк · Альфа,07/10/2026,2:00 PM,07/10/2026,3:00 PM,False,Релиз-синк проекта Альфа (ALPHA-2026.10).,,True
Релиз-синк · Альфа,07/17/2026,2:00 PM,07/17/2026,3:00 PM,False,Релиз-синк проекта Альфа (ALPHA-2026.12).,,True
Релиз-синк · Альфа,07/24/2026,2:00 PM,07/24/2026,3:00 PM,False,Релиз-синк проекта Альфа (ALPHA-2026.14).,,True
