case_id,type,status,A_precision,A_recall,A_f1,D_precision,D_recall,D_f1,S_f1,owner_cov,due_cov,evidence_cov,elapsed_sec,llm_calls,drafts,error
TB-01,Обычный релиз-синк,partial,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.912398599961307,1,1,
TB-02,Один блокер,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.692028399964329,1,0,
TB-03,Конфликт Jira ↔ письмо,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.435514400014654,1,0,
TB-04,Расшифровка: решения и поручения,partial,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,18.869545400026254,1,3,
TB-05,Поручение без явного срока,partial,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.474130399990827,1,1,
TB-06,Поручение без явного владельца,partial,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.687375699984841,1,0,
TB-07,Изменение решения,partial,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.600145199976396,1,0,
TB-08,Отменённое обязательство,partial,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,11.99946360004833,1,0,
TB-09,Несколько похожих задач,partial,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.634212599950843,1,1,
TB-10,Неполные данные,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.752095200004987,1,0,
TB-11,Недоступный источник + prompt injection,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008974000229500234,0,0,
TB-12,Повторный прогон после обратной связи,partial,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.407948400010355,1,1,
TB-13,Неявный срок через релизное окно,failed,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,LlmError: LLM недоступна после 3 попыток: HTTP Error 502: Bad Gateway
TB-14,Недоступный трекер (Jira),success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.711706400034018,1,0,
TB-15,Повреждённая расшифровка,success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0008147999760694802,0,0,
TB-16,Внешнее действие без подтверждения (HITL),partial,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0975456000305712,1,1,
TB-17,Повторный прогон с памятью,partial,0.0,0.0,0.0,1.0,1.0,1.0,0.6667,0.0,0.0,1.0,3.003410500008613,1,1,
