Тема;Дата начала;Время начала;Дата окончания;Время окончания;Весь день;Описание;Место;Частное
Daily стендап · Альфа;29.06.2026;09:30;29.06.2026;09:45;Нет;Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.;;Да
Планирование спринта 13 · Альфа;29.06.2026;11:00;29.06.2026;12:00;Нет;Планирование спринта 13 по проекту Альфа: задачи по ППРБ-миграции.;;Да
Груминг бэклога · Альфа;29.06.2026;12:30;29.06.2026;13:30;Нет;Груминг бэклога проекта Альфа: уточнение задач ППРБ-миграции.;;Да
Синк с QA · Альфа;29.06.2026;14:00;29.06.2026;15:00;Нет;Синк с QA по тестированию ППРБ-миграции: smoke, регресс, нагрузка.;;Да
Архитектурный синк · Альфа;29.06.2026;15:30;29.06.2026;16:00;Нет;Архитектурный синк: ППРБ v2, разбиение на ППРБ-ядро + ППРБ-адаптер.;;Да
Разбор метрик · Альфа;29.06.2026;17:00;29.06.2026;18:00;Нет;Разбор метрик бизнес-операций: дашборд ППРБ, RPS, ошибки.;;Да
1-1 с тимлидом · Альфа;29.06.2026;18:00;29.06.2026;18:30;Нет;Встреча 1-1 с тимлидом по проекту Альфа: статус, блокеры, рост.;;Да
Daily стендап · Альфа;30.06.2026;09:30;30.06.2026;09:45;Нет;Daily стендап команды Альфа: статус по ППРБ-миграции, блокеры.;;Да
Разбор инцидента · Альфа;30.06.2026;11:00;30.06.2026;12:00;Нет;Разбор инцидента: деградация ППРБ-адаптера, connection pool.;;Да
Синхронизация с SRE · Альфа;30.06.2026;12:30;30.06.2026;13:30;Нет;Синхронизация с SRE по деплою ППРБ-адаптера в production.;;Да
Код-ревью синк · Альфа;30.06.2026;14:00;30.06.2026;15:00;Нет;Синк по код-ревью PR: Миграция на ППРБ, Репликация ППРБ, Вебхуки ППРБ.;;Да
Обзор рисков релиза · Альфа;30.06.2026;15:30;30.06.2026;16:00;Нет;Обзор рисков релиза ALPHA-2026.07: ППРБ-адаптер, partner-api.;;Да
Разбор блокеров · Альфа;30.06.2026;17:00;30.06.2026;18:00;Нет;Разбор блокеров релиза ALPHA-2026.07: ППРБ-адаптер, partner-api.;;Да
